ticker,exchange,alias,asset_type,currency
019550,KQ,SBI인베스트먼트,Stock,KRW
019570,KQ,플루토스,Stock,KRW
019660,KQ,글로본,Stock,KRW
019770,KQ,서연탑메탈,Stock,KRW
019990,KQ,에너토크,Stock,KRW
020180,KQ,대신정보통신,Stock,KRW
020400,KQ,대동금속,Stock,KRW
020710,KQ,시공테크,Stock,KRW
021040,KQ,대호특수강,Stock,KRW
021045,KQ,대호특수강우,Stock,KRW
021080,KQ,에이티넘인베스트,Stock,KRW
021320,KQ,KCC건설,Stock,KRW
021650,KQ,한국큐빅,Stock,KRW
021880,KQ,메이슨캐피탈,Stock,KRW
022220,KQ,티케이지애강,Stock,KRW
023160,KQ,태광,Stock,KRW
023410,KQ,유진기업,Stock,KRW
023440,KQ,제이스코홀딩스,Stock,KRW
023600,KQ,삼보판지,Stock,KRW
023760,KQ,한국캐피탈,Stock,KRW
023770,KQ,플레이위드,Stock,KRW
023790,KQ,동일스틸럭스,Stock,KRW
023900,KQ,풍국주정,Stock,KRW
023910,KQ,대한약품,Stock,KRW
024060,KQ,흥구석유,Stock,KRW
024120,KQ,KB오토시스,Stock,KRW
024740,KQ,한일단조,Stock,KRW
024800,KQ,유성티엔에스,Stock,KRW
024830,KQ,세원물산,Stock,KRW
024840,KQ,KBI메탈,Stock,KRW
024850,KQ,HLB이노베이션,Stock,KRW
024880,KQ,케이피에프,Stock,KRW
024910,KQ,경창산업,Stock,KRW
024940,KQ,PN풍년,Stock,KRW
024950,KQ,삼천리자전거,Stock,KRW
025320,KQ,시노펙스,Stock,KRW
025440,KQ,DH오토웨어,Stock,KRW
025550,KQ,한국선재,Stock,KRW
025770,KQ,한국정보통신,Stock,KRW
025870,KQ,신라에스지,Stock,KRW
025880,KQ,케이씨피드,Stock,KRW
025900,KQ,동화기업,Stock,KRW
025950,KQ,동신건설,Stock,KRW
025980,KQ,아난티,Stock,KRW
026040,KQ,제이에스티나,Stock,KRW
026150,KQ,특수건설,Stock,KRW
026910,KQ,광진실업,Stock,KRW
027040,KQ,서울전자통신,Stock,KRW
027050,KQ,코리아나,Stock,KRW
027360,KQ,아주IB투자,Stock,KRW
027580,KQ,상보,Stock,KRW
027710,KQ,팜스토리,Stock,KRW
027830,KQ,대성창투,Stock,KRW
028080,KQ,휴맥스홀딩스,Stock,KRW
028300,KQ,HLB,Stock,KRW
029480,KQ,광무,Stock,KRW
030350,KQ,드래곤플라이,Stock,KRW
030520,KQ,한글과컴퓨터,Stock,KRW
030530,KQ,원익홀딩스,Stock,KRW
030960,KQ,양지사,Stock,KRW
031310,KQ,아이즈비전,Stock,KRW
031330,KQ,에스에이엠티,Stock,KRW
031510,KQ,오스템,Stock,KRW
031860,KQ,디에이치엑스컴퍼니,Stock,KRW
031980,KQ,피에스케이홀딩스,Stock,KRW
032080,KQ,아즈텍WB,Stock,KRW
032190,KQ,다우데이타,Stock,KRW
032280,KQ,삼일,Stock,KRW
032300,KQ,한국파마,Stock,KRW
032500,KQ,케이엠더블유,Stock,KRW
032540,KQ,TJ미디어,Stock,KRW
032580,KQ,피델릭스,Stock,KRW
032620,KQ,GC메디아이,Stock,KRW
032680,KQ,소프트센,Stock,KRW
032685,KQ,소프트센우,Stock,KRW
032750,KQ,삼진,Stock,KRW
032790,KQ,엠젠솔루션,Stock,KRW
032800,KQ,판타지오,Stock,KRW
032820,KQ,우리기술,Stock,KRW
032850,KQ,비트컴퓨터,Stock,KRW
032860,KQ,더라미,Stock,KRW
032940,KQ,원익,Stock,KRW
032960,KQ,동일기연,Stock,KRW
032980,KQ,바이온,Stock,KRW
033050,KQ,제이엠아이,Stock,KRW
033100,KQ,제룡전기,Stock,KRW
033130,KQ,디지틀조선,Stock,KRW
033160,KQ,엠케이전자,Stock,KRW
033170,KQ,시그네틱스,Stock,KRW
033200,KQ,모아텍,Stock,KRW
033230,KQ,인성정보,Stock,KRW
033290,KQ,로젠,Stock,KRW
033310,KQ,엠투엔,Stock,KRW
033320,KQ,제이씨현시스템,Stock,KRW
033340,KQ,좋은사람들,Stock,KRW
033500,KQ,동성화인텍,Stock,KRW
033540,KQ,파라텍,Stock,KRW
033560,KQ,블루콤,Stock,KRW
033640,KQ,네패스,Stock,KRW
033790,KQ,피노,Stock,KRW
033830,KQ,티비씨,Stock,KRW
034810,KQ,해성산업,Stock,KRW
03481K,KQ,해성산업1우,Stock,KRW
034940,KQ,조아제약,Stock,KRW
034950,KQ,한국기업평가,Stock,KRW
035080,KQ,그래디언트,Stock,KRW
035200,KQ,프럼파스트,Stock,KRW
035290,KQ,골드앤에스,Stock,KRW
035460,KQ,기산텔레콤,Stock,KRW
035600,KQ,KG이니시스,Stock,KRW
035610,KQ,솔본,Stock,KRW
035620,KQ,바른손이앤에이,Stock,KRW
035760,KQ,CJ ENM,Stock,KRW
035810,KQ,이지홀딩스,Stock,KRW
035890,KQ,서희건설,Stock,KRW
035900,KQ,JYP Ent.,Stock,KRW
036000,KQ,예림당,Stock,KRW
036010,KQ,아비코전자,Stock,KRW
036030,KQ,케이티알파,Stock,KRW
036090,KQ,위지트,Stock,KRW
036120,KQ,서울평가정보,Stock,KRW
036170,KQ,에이치엠넥스,Stock,KRW
036190,KQ,금화피에스시,Stock,KRW
036200,KQ,유니셈,Stock,KRW
036220,KQ,오상헬스케어,Stock,KRW
036480,KQ,대성미생물,Stock,KRW
036540,KQ,SFA반도체,Stock,KRW
036560,KQ,KZ정밀,Stock,KRW
036620,KQ,감성코퍼레이션,Stock,KRW
036630,KQ,세종텔레콤,Stock,KRW
036640,KQ,HRS,Stock,KRW
036670,KQ,삼양케이씨아이,Stock,KRW
036690,KQ,코맥스,Stock,KRW
036710,KQ,심텍홀딩스,Stock,KRW
036800,KQ,나이스정보통신,Stock,KRW
036810,KQ,에프에스티,Stock,KRW
036830,KQ,솔브레인홀딩스,Stock,KRW
036890,KQ,진성티이씨,Stock,KRW
036930,KQ,주성엔지니어링,Stock,KRW
037030,KQ,파워넷,Stock,KRW
037070,KQ,파세코,Stock,KRW
037230,KQ,한국팩키지,Stock,KRW
037330,KQ,인지디스플레,Stock,KRW
037350,KQ,성도이엔지,Stock,KRW
037370,KQ,EG,Stock,KRW
037400,KQ,우리엔터프라이즈,Stock,KRW
037440,KQ,희림,Stock,KRW
037460,KQ,삼지전자,Stock,KRW
037760,KQ,쎄니트,Stock,KRW
037950,KQ,엘컴텍,Stock,KRW
038010,KQ,제일테크노스,Stock,KRW
038060,KQ,루멘스,Stock,KRW
038070,KQ,서린바이오,Stock,KRW
038110,KQ,에코플라스틱,Stock,KRW
038290,KQ,마크로젠,Stock,KRW
038390,KQ,레드캡투어,Stock,KRW
038460,KQ,바이오스마트,Stock,KRW
038500,KQ,삼표시멘트,Stock,KRW
038530,KQ,케이바이오랩스,Stock,KRW
038540,KQ,상상인,Stock,KRW
038620,KQ,위즈코프,Stock,KRW
038680,KQ,에스넷,Stock,KRW
038870,KQ,에코심플렉스,Stock,KRW
038880,KQ,아이에이,Stock,KRW
038950,KQ,파인디지털,Stock,KRW
039010,KQ,현대에이치티,Stock,KRW
039020,KQ,이건홀딩스,Stock,KRW
039030,KQ,이오테크닉스,Stock,KRW
039200,KQ,오스코텍,Stock,KRW
039240,KQ,경남스틸,Stock,KRW
039290,KQ,인포뱅크,Stock,KRW
039310,KQ,세중,Stock,KRW
039340,KQ,한국경제TV,Stock,KRW
039420,KQ,케이엘넷,Stock,KRW
039440,KQ,에스티아이,Stock,KRW
039560,KQ,다산네트웍스,Stock,KRW
039610,KQ,화성밸브,Stock,KRW
039740,KQ,한국정보공학,Stock,KRW
039830,KQ,오로라,Stock,KRW
039840,KQ,디오,Stock,KRW
039860,KQ,나노엔텍,Stock,KRW
039980,KQ,폴라리스AI,Stock,KRW
040160,KQ,누리플렉스,Stock,KRW
040300,KQ,YTN,Stock,KRW
040350,KQ,크레오에스지,Stock,KRW
040420,KQ,정상제이엘에스,Stock,KRW
040610,KQ,SG&G,Stock,KRW
040910,KQ,아이씨디,Stock,KRW
041020,KQ,폴라리스오피스,Stock,KRW
041190,KQ,우리기술투자,Stock,KRW
041440,KQ,현대에버다임,Stock,KRW
041460,KQ,한국전자인증,Stock,KRW
041510,KQ,에스엠,Stock,KRW
041520,KQ,이엘씨,Stock,KRW
041590,KQ,플래스크,Stock,KRW
041830,KQ,인바디,Stock,KRW
041910,KQ,폴라리스AI파마,Stock,KRW
041920,KQ,메디아나,Stock,KRW
041930,KQ,SY동아,Stock,KRW
041960,KQ,코미팜,Stock,KRW
042000,KQ,카페24,Stock,KRW
042040,KQ,케이피엠테크,Stock,KRW
042110,KQ,에스씨디,Stock,KRW
042370,KQ,비츠로테크,Stock,KRW
042420,KQ,네오위즈홀딩스,Stock,KRW
042500,KQ,링네트,Stock,KRW
042510,KQ,라온시큐어,Stock,KRW
042520,KQ,한스바이오메드,Stock,KRW
042600,KQ,새로닉스,Stock,KRW
042940,KQ,상지건설,Stock,KRW
043090,KQ,더테크놀로지,Stock,KRW
043100,KQ,알파AI,Stock,KRW
043150,KQ,바텍,Stock,KRW
043200,KQ,파루,Stock,KRW
043220,KQ,티에스넥스젠,Stock,KRW
043260,KQ,성호전자,Stock,KRW
043340,KQ,에쎈테크,Stock,KRW
043360,KQ,디지아이,Stock,KRW
043370,KQ,피에이치에이,Stock,KRW
043590,KQ,웰킵스하이텍,Stock,KRW
043610,KQ,KT지니뮤직,Stock,KRW
043650,KQ,국순당,Stock,KRW
043710,KQ,코스리거글로벌,Stock,KRW
043910,KQ,자연과환경,Stock,KRW
044180,KQ,KD,Stock,KRW
044340,KQ,위닉스,Stock,KRW
044480,KQ,빌리언스,Stock,KRW
044490,KQ,태웅,Stock,KRW
044780,KQ,에이치케이,Stock,KRW
044960,KQ,이글벳,Stock,KRW
044990,KQ,에이치엔에스하이텍,Stock,KRW
045060,KQ,오공,Stock,KRW
045100,KQ,한양이엔지,Stock,KRW
045300,KQ,성우테크론,Stock,KRW
045340,KQ,토탈소프트,Stock,KRW
045390,KQ,대아티아이,Stock,KRW
045510,KQ,정원엔시스,Stock,KRW
045520,KQ,크린앤사이언스,Stock,KRW
