ticker,exchange,alias,asset_type,currency
0018C0,KS,PLUS 고배당주위클리고정커버드콜,ETF,KRW
0018Z0,KS,RISE 미국양자컴퓨팅,ETF,KRW
001940,KS,KISCO홀딩스,Stock,KRW
0019K0,KS,TIME 미국나스닥100채권혼합50액티브,ETF,KRW
002020,KS,코오롱,Stock,KRW
002025,KS,코오롱우,Stock,KRW
002030,KS,아세아,Stock,KRW
002070,KS,비비안,Stock,KRW
0020H0,KS,KoAct 글로벌양자컴퓨팅액티브,ETF,KRW
002100,KS,경농,Stock,KRW
002140,KS,고려산업,Stock,KRW
002150,KS,도화엔지니어링,Stock,KRW
002170,KS,SYTS,Stock,KRW
0021C0,KS,ACE TDF장기자산배분액티브,ETF,KRW
0021D0,KS,ACE TDF2030액티브 적격,ETF,KRW
0021E0,KS,ACE TDF2050액티브 적격,ETF,KRW
002200,KS,한국수출포장,Stock,KRW
002210,KS,동성제약,Stock,KRW
002220,KS,한일철강,Stock,KRW
002240,KS,고려제강,Stock,KRW
0022T0,KS,SOL 국제금커버드콜액티브,ETF,KRW
002310,KS,아세아제지,Stock,KRW
002320,KS,한진,Stock,KRW
002350,KS,넥센타이어,Stock,KRW
002355,KS,넥센타이어1우B,Stock,KRW
002360,KS,SH에너지화학,Stock,KRW
002380,KS,KCC,Stock,KRW
002390,KS,한독,Stock,KRW
0023A0,KS,SOL 미국양자컴퓨팅TOP10,ETF,KRW
0023B0,KS,PLUS 미국양자컴퓨팅TOP10,ETF,KRW
002410,KS,범양건영,Stock,KRW
002420,KS,세기상사,Stock,KRW
002450,KS,삼익악기,Stock,KRW
002460,KS,HS화성,Stock,KRW
0025N0,KS,TIGER TDF2045 적격,ETF,KRW
002600,KS,조흥,Stock,KRW
002620,KS,제일파마홀딩스,Stock,KRW
002630,KS,오리엔트바이오,Stock,KRW
002690,KS,동일제강,Stock,KRW
0026E0,KS,KODEX 미국S&P500버퍼3월액티브,ETF,KRW
0026S0,KS,1Q 미국S&P500,ETF,KRW
002700,KS,신일전자,Stock,KRW
002710,KS,TCC스틸,Stock,KRW
002720,KS,국제약품,Stock,KRW
002760,KS,보락,Stock,KRW
002780,KS,진흥기업,Stock,KRW
002785,KS,진흥기업우B,Stock,KRW
002787,KS,진흥기업2우B,Stock,KRW
002790,KS,아모레퍼시픽홀딩스,Stock,KRW
002795,KS,아모레퍼시픽홀딩스우,Stock,KRW
00279K,KS,아모레퍼시픽홀딩스3우C,Stock,KRW
002810,KS,삼영무역,Stock,KRW
002820,KS,SUN&L,Stock,KRW
002840,KS,미원상사,Stock,KRW
002870,KS,신풍,Stock,KRW
002880,KS,디와이에이,Stock,KRW
0028X0,KS,KODEX 미국금융테크액티브,ETF,KRW
002900,KS,TYM,Stock,KRW
002920,KS,유성기업,Stock,KRW
002960,KS,한국쉘석유,Stock,KRW
002990,KS,금호건설,Stock,KRW
002995,KS,금호건설우,Stock,KRW
003000,KS,부광약품,Stock,KRW
003010,KS,혜인,Stock,KRW
003030,KS,세아제강지주,Stock,KRW
